0;500;31.7626;46.8568;38.5037
1;1000;39.0423;64.1194;50.3176
2;1500;43.9513;75.7597;58.2841
3;2000;47.2615;83.6091;63.656
4;2500;49.4937;88.9022;67.2785
5;3000;50.9989;92.4714;69.7212
6;3500;52.014;94.8782;71.3684
7;4000;52.6984;96.5012;72.4792
8;4500;53.1599;97.5956;73.2282
9;5000;53.4712;98.3336;73.7333
10;5500;53.681;98.8313;74.0738
11;6000;53.8226;99.1669;74.3035
